SCHOOL_YEAR,District,District_Name,SCHOOL_ID,SCHOOL_NAME,K_8_Attendance_Rate_PCT,K_8_Promotion_Rate_PCT,State_Goal_Attendance_Rate,State_Goal_Promotion_Rate,Attendance_Rate_PCT,Cohort_Dropout__PCT,Graduation_Rate_NCLB_PCT,Event_Dropout_PCT,All_grad_rate,White_grad_rate,African_American_grad_rate,Hispanic_grad_rate,Asian_grad_rate,Native_American_grad_rate,Hawaiian_PacIsld_grad_rate,Male_grad_rate,Female_grad_rate,Economically_Disadvantaged_grad_rate,Students_with_Disabilities_grad_rate,Limited_English_Proficient_grad_rate,
2016,10,Anderson County,2,Anderson County High School,,,,,95.53,1.49,97.76,0.42,97.76,97.71,100.00,100.00,100.00,100.00,,98.67,96.61,100.00,91.89,,
2016,10,Anderson County,3,Anderson County Career  Technical Center,,,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,5,Andersonville Elementary,95.56,99.67,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,10,Briceville Elementary,95.19,99.10,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,15,Claxton Elementary,95.34,99.60,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,20,Clinton Middle School,94.88,100.00,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,25,Clinton High School,,,,,94.41,3.44,93.13,0.89,93.13,93.33,85.71,100.00,100.00,100.00,,91.13,94.93,88.89,84.38,100.00,
2016,10,Anderson County,35,Dutch Valley Elementary,95.37,100.00,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,40,Fairview Elementary,96.40,98.98,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,46,Grand Oaks Elementary,95.31,99.62,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,50,Lake City Elementary,94.93,99.54,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,55,Lake City Middle School,94.43,100.00,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,70,Norris Elementary,95.29,100.00,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,75,Norris Middle School,96.27,99.79,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,80,Norwood Elementary,94.85,100.00,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,85,Norwood Middle School,94.97,100.00,,,,,,,,,,,,,,,,,,,
2016,10,Anderson County,105,Clinch River Community School,100.00,100.00,,,87.50,0.00,100.00,0.00,100.00,100.00,,,,,,100.00,100.00,100.00,100.00,,
2016,11,Clinton,5,Clinton Elementary,95.63,99.20,,,,,,,,,,,,,,,,,,,
2016,11,Clinton,10,North Clinton Elementary,93.85,99.24,,,,,,,,,,,,,,,,,,,
2016,11,Clinton,15,South Clinton Elementary,95.69,97.56,,,,,,,,,,,,,,,,,,,
2016,12,Oak Ridge,15,Glenwood Elementary,94.65,98.92,,,,,,,,,,,,,,,,,,,
2016,12,Oak Ridge,25,Jefferson Middle School,98.88,99.58,,,,,,,,,,,,,,,,,,,
2016,12,Oak Ridge,30,Linden Elementary,94.61,99.32,,,,,,,,,,,,,,,,,,,
2016,12,Oak Ridge,35,Oak Ridge High School,,,,,95.90,3.99,88.32,2.16,88.32,89.06,87.04,83.33,90.00,50.00,100.00,88.70,87.93,87.69,69.05,66.67,
2016,12,Oak Ridge,40,Robertsville Middle School,96.29,99.72,,,,,,,,,,,,,,,,,,,
2016,12,Oak Ridge,45,Willow Brook Elementary,93.15,99.75,,,,,,,,,,,,,,,,,,,
2016,12,Oak Ridge,50,Woodland Elementary,95.73,99.49,,,,,,,,,,,,,,,,,,,
2016,20,Bedford County,12,Cascade Elementary,95.80,100.00,,,,,,,,,,,,,,,,,,,
2016,20,Bedford County,13,Cascade High School,,,,,94.16,2.63,96.05,0.68,96.05,95.49,100.00,100.00,,100.00,,93.02,100.00,95.83,78.57,100.00,
2016,20,Bedford County,15,Eakin Elementary,95.49,100.00,,,,,,,,,,,,,,,,,,,
2016,20,Bedford County,17,Cascade Middle School,95.33,100.00,,,,,,,,,,,,,,,,,,,
2016,20,Bedford County,20,Shelbyville Central High School,,,,,94.38,5.06,92.41,1.39,92.41,91.40,98.11,90.79,100.00,,,90.97,93.79,96.77,68.75,78.26,
2016,20,Bedford County,25,Harris Middle School,95.05,100.00,,,,,,,,,,,,,,,,,,,
2016,20,Bedford County,33,Community Elementary School,94.81,99.73,,,,,,,,,,,,,,,,,,,
2016,20,Bedford County,35,Community High School,,,,,94.25,7.20,86.40,3.10,86.40,85.32,87.50,100.00,100.00,,,84.48,88.06,71.43,61.11,66.67,
2016,20,Bedford County,37,Community Middle School,95.47,100.00,,,,,,,,,,,,,,,,,,,
2016,20,Bedford County,39,Learning Way Elementary,94.70,100.00,,,,,,,,,,,,,,,,,,,
2016,20,Bedford County,40,East Side Elementary,94.66,100.00,,,,,,,,,,,,,,,,,,,
2016,20,Bedford County,53,Liberty Elementary,95.90,100.00,,,,,,,,,,,,,,,,,,,
